,ID,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count
0,271271157,1,27,1,9.0,1,26
1,271634126,1,27,1,8.0,1,19
2,271173086,1,27,1,7.0,1,17
3,272197456,2,21,1,3.0,1,14
4,273614615,1,15,2,7.0,1,15
5,274837728,3,21,1,5.0,1,38
6,273643908,4,3,2,4.0,1,17
7,274475342,5,43,1,3.0,1,18
8,273973191,6,18,1,9.0,1,19
9,272900409,5,30,2,10.0,1,24
10,271036964,7,4,1,5.0,1,14
11,273999490,6,7,1,2.0,1,18
12,274017037,8,13,1,8.0,1,14
13,273231024,9,13,1,9.0,1,21
14,274839211,10,8,3,5.0,1,25
15,274767901,10,8,3,6.0,1,20
16,274995950,1,15,2,10.0,1,10
17,274945807,10,8,2,5.0,1,47
18,272911145,11,18,4,12.0,1,32
19,274748017,10,9,3,6.0,1,26
20,273941734,1,15,2,9.0,1,20
21,274493570,12,14,3,5.0,1,17
22,274849101,13,6,1,5.0,1,41
23,223918678,10,8,2,8.0,1,13
24,274391259,10,9,2,5.0,1,24
25,272945376,14,29,2,5.0,1,14
26,272612966,11,18,2,11.0,1,25
27,271568490,2,20,1,7.0,1,21
28,264664760,1,32,2,15.0,1,15
29,228923308,10,8,2,10.0,1,21
30,267489303,4,5,2,5.0,1,20
31,273353104,1,32,1,7.0,1,23
32,273353103,1,32,1,7.0,1,23
33,268321690,1,32,2,11.0,1,12
34,269496185,13,6,1,3.0,1,21
35,272188531,1,15,2,15.0,1,9
36,272727784,5,15,1,10.0,1,12
37,267110043,3,21,1,7.0,1,19
38,265323319,1,32,1,7.0,1,25
39,265804792,2,21,1,7.0,1,24
40,239000408,15,15,2,9.0,1,34
41,271209314,1,27,1,5.0,1,31
42,269889430,13,6,1,6.0,1,20
43,241704098,1,27,1,5.0,1,26
44,239000331,10,8,3,8.0,1,23
45,272823500,5,15,2,7.0,1,12
46,274402813,16,8,1,5.0,1,24
47,270190788,16,8,1,5.0,1,34
48,271265359,5,45,1,5.0,1,13
49,274289253,5,15,2,7.0,1,16
50,274150874,5,47,1,4.0,1,26
51,274849686,3,17,1,5.0,1,14
52,274315381,10,8,2,6.0,1,33
53,273779074,8,3,1,7.0,1,11
54,274217247,5,31,1,8.0,1,15
55,272156997,14,23,3,5.0,1,17
56,274617827,10,9,3,8.0,1,22
57,274252871,16,8,1,5.0,1,14
58,269132104,1,32,1,10.0,1,10
59,273911217,5,47,1,6.0,1,31
60,269716469,16,8,1,5.0,1,15
61,274137125,3,17,5,7.0,1,24
62,274140104,3,17,1,5.0,1,27
63,271258034,9,13,1,9.0,1,35
64,166833883,17,32,2,6.0,1,33
65,273798495,18,17,1,6.0,1,18
66,274810876,2,21,1,4.0,1,36
67,274199925,5,31,2,10.0,1,11
68,274223065,8,3,1,8.0,1,14
69,271264562,14,23,3,5.0,1,17
70,272632345,5,15,2,6.0,1,13
71,274018110,10,8,2,5.0,1,20
72,274029603,5,32,1,5.0,1,27
73,274548856,3,17,1,6.0,1,26
74,271766412,4,5,4,4.0,1,37
75,269165004,3,21,1,2.0,1,20
76,274105576,3,17,1,5.0,1,14
77,273785180,1,15,2,4.0,1,12
78,273785183,1,15,2,4.0,1,12
79,273785185,1,15,2,4.0,1,12
80,274528249,19,5,2,3.0,1,26
81,274431438,20,3,1,3.0,1,14
82,274064272,21,3,2,5.0,1,16
83,273078340,22,5,1,6.0,1,16
84,274359655,5,32,1,7.0,1,28
85,272226556,5,32,2,10.0,1,38
86,273114736,3,21,1,5.0,1,37
87,274319903,23,8,1,3.0,1,14
88,273427928,9,26,1,11.0,1,14
89,274296188,17,35,2,8.0,1,20
90,272887177,14,29,2,5.0,1,19
91,269319175,1,32,1,7.0,1,12
92,269687656,12,44,1,6.0,1,23
93,274501292,5,9,2,10.0,1,19
94,261980888,1,32,1,6.0,1,20
95,272567246,5,32,1,4.0,1,17
96,274930877,10,8,3,5.0,1,27
97,273576298,12,14,3,6.0,1,16
98,271108834,9,13,1,8.0,1,20
99,256631457,5,27,2,8.0,1,20
100,271988698,1,27,1,9.0,1,16
101,271305644,8,13,2,12.0,1,35
102,271097684,3,21,1,2.0,1,20
103,273106501,4,5,6,5.0,1,20
104,274066192,1,26,1,8.0,1,15
105,273763131,3,9,1,4.0,1,39
106,273684904,24,5,1,9.0,1,11
107,271542995,6,18,1,8.0,1,19
108,273012299,25,21,2,8.0,1,17
109,270282698,1,15,2,7.0,1,11
110,274336333,6,10,1,15.0,1,20
111,272244255,22,5,1,6.0,1,7
112,272701749,26,33,3,7.0,1,20
113,271204399,14,23,3,7.0,1,21
114,274879736,25,23,2,5.0,1,17
115,271827359,1,32,1,7.0,1,27
116,256631941,27,4,2,7.0,1,21
117,272917777,14,29,7,10.0,1,35
118,252536547,4,3,6,4.0,1,23
119,274434108,1,15,2,7.0,1,15
120,272559990,1,32,1,7.0,1,24
121,269465572,14,29,3,7.0,1,38
122,263779667,2,21,1,4.0,1,18
123,272128059,1,29,2,20.0,1,25
124,224335583,6,18,8,12.0,1,16
125,271627634,1,32,1,7.0,1,31
126,274700592,3,17,1,4.0,1,22
127,273231375,2,21,1,5.0,1,43
128,271586905,1,32,1,7.0,1,26
129,274315960,12,14,2,10.0,1,45
130,272845144,18,17,2,15.0,1,33
131,274743086,10,8,3,4.0,1,47
132,271776317,18,17,1,6.0,1,40
133,267884643,11,28,2,15.0,1,20
134,274252226,3,17,1,6.0,1,41
135,273970263,5,27,2,7.0,1,26
136,269515978,13,6,1,4.0,1,21
137,267915862,8,13,1,5.0,1,40
138,273687210,4,5,4,4.0,1,50
139,274009456,1,26,1,5.0,1,14
140,274723871,1,22,1,10.0,1,13
141,274548003,1,6,2,6.0,1,17
142,229808794,1,15,2,9.0,1,14
143,274903280,22,5,1,6.0,1,21
144,271439388,6,16,1,5.0,1,29
145,273474991,24,5,9,10.0,1,18
146,274135582,20,5,1,2.0,1,16
147,274880892,5,31,2,9.0,1,12
148,271716464,6,18,1,10.0,1,26
149,271249218,28,8,1,5.0,1,17
150,274012210,25,21,2,5.0,1,17
151,269317588,1,15,2,9.0,1,15
152,273650910,25,21,2,9.0,1,23
153,273823802,22,5,1,6.0,1,13
154,272821193,5,15,2,5.0,1,14
155,274103646,10,16,2,6.0,1,15
156,236632140,1,15,2,9.0,1,23
157,274478078,1,31,1,8.0,1,14
158,272710931,26,33,3,7.0,1,16
159,272047599,5,51,1,6.0,1,17
160,273235893,12,14,3,10.0,1,18
161,271487126,11,31,8,10.0,1,12
162,236952590,27,4,2,8.0,1,20
163,267882068,26,26,3,9.0,1,21
164,271577440,1,32,1,10.0,1,11
165,273795577,14,29,2,5.0,1,23
166,271764581,15,8,2,10.0,1,18
167,274744370,26,32,2,9.0,1,17
