ID,animal_and_children,resedent_name,series_build,lift,bathroom
271271157,3,1,0,5,0
271634126,1,1,0,2,3
271173086,1,1,0,1,3
272197456,2,0,0,1,3
273614615,0,1,0,2,2
274837728,0,1,0,0,0
273643908,3,0,0,1,2
274475342,3,0,0,1,2
273973191,2,0,0,1,1
272900409,1,0,0,1,2
271036964,1,0,0,1,3
273999490,0,0,0,1,1
274017037,3,0,0,1,2
273231024,3,0,0,3,3
274839211,0,1,0,1,2
274767901,0,1,0,4,0
274995950,3,1,0,0,1
274945807,3,1,0,0,0
272911145,0,0,0,1,2
274748017,3,0,0,1,3
273941734,3,1,0,0,2
274493570,1,0,0,1,2
274849101,0,0,0,0,0
223918678,3,1,0,0,3
274391259,3,0,0,0,2
272945376,3,1,0,1,2
272612966,0,0,0,1,2
271568490,1,0,0,1,0
264664760,3,1,0,0,2
228923308,3,1,0,2,4
267489303,3,0,0,1,3
273353104,0,1,0,0,2
273353103,0,1,0,0,2
268321690,3,1,0,3,2
269496185,1,0,0,2,2
272188531,0,1,0,0,1
272727784,3,0,0,0,1
267110043,1,1,0,2,2
265323319,1,1,0,0,2
265804792,2,0,0,0,3
239000408,3,0,0,0,2
271209314,2,1,0,2,2
269889430,2,0,0,0,2
241704098,1,1,0,2,2
239000331,2,1,0,2,3
272823500,0,0,0,1,1
274402813,3,1,0,0,3
270190788,3,1,0,1,2
271265359,1,0,0,1,1
274289253,0,0,0,0,0
274150874,0,0,0,0,0
274849686,0,1,0,1,2
274315381,3,1,0,1,0
273779074,3,0,1,1,1
274217247,1,0,1,0,1
272156997,3,0,0,1,2
274617827,3,0,0,0,0
274252871,3,1,0,3,3
269132104,1,1,0,2,1
273911217,0,0,0,1,0
269716469,3,1,0,2,2
274137125,3,1,0,1,4
274140104,3,1,1,2,4
271258034,1,0,0,1,0
166833883,3,0,0,2,4
273798495,0,1,0,2,3
274810876,0,0,0,0,3
274199925,1,0,0,0,0
274223065,0,0,0,0,0
271264562,3,0,0,1,2
272632345,0,0,0,1,1
274018110,0,1,0,2,2
274029603,1,0,0,1,3
274548856,3,1,0,4,2
271766412,0,0,0,1,2
269165004,0,1,0,2,2
274105576,3,1,0,1,4
273785180,3,1,0,1,3
273785183,3,1,0,1,3
273785185,3,1,0,1,3
274528249,0,0,0,1,1
274431438,3,0,0,1,1
274064272,0,0,0,1,1
273078340,3,0,0,2,1
274359655,0,0,1,1,3
272226556,1,0,0,0,0
273114736,3,1,0,0,0
274319903,3,0,0,2,1
273427928,1,0,0,1,1
274296188,1,0,0,1,2
272887177,1,1,1,2,2
269319175,1,1,1,2,1
269687656,0,0,0,1,2
274501292,3,0,0,1,2
261980888,1,1,1,4,2
272567246,3,0,0,1,3
274930877,0,1,1,0,3
273576298,1,0,0,0,2
271108834,1,0,0,1,3
256631457,1,0,1,2,2
271988698,3,1,0,4,2
271305644,0,0,0,0,0
271097684,3,1,0,2,3
273106501,3,0,1,2,3
274066192,1,0,1,0,1
273763131,0,0,0,1,1
273684904,3,0,1,2,1
271542995,0,0,1,1,1
273012299,0,0,1,1,1
270282698,1,1,1,6,2
274336333,1,0,1,0,2
272244255,0,0,1,0,1
